,,,,
FSO15 - IR date,,,,
,,,,
,,,,
cm-1,%T,,,
2760,103.76,,,
2759,103.78,,,
2758,103.81,,,
2757,103.83,,,
2756,103.84,,,
2755,103.85,,,
2754,103.86,,,
2753,103.87,,,
2752,103.88,,,
2751,103.89,,,
2750,103.89,,,
2749,103.89,,,
2748,103.9,,,
2747,103.91,,,
2746,103.92,,,
2745,103.94,,,
2744,103.95,,,
2743,103.95,,,
2742,103.96,,,
2741,103.95,,,
2740,103.95,,,
2739,103.95,,,
2738,103.95,,,
2737,103.96,,,
2736,103.97,,,
2735,103.98,,,
2734,103.99,,,
2733,103.99,,,
2732,104,,,
2731,104.01,,,
2730,104.03,,,
2729,104.07,,,
2728,104.1,,,
2727,104.11,,,
2726,104.11,,,
2725,104.11,,,
2724,104.11,,,
2723,104.11,,,
2722,104.12,,,
2721,104.12,,,
2720,104.13,,,
2719,104.14,,,
2718,104.13,,,
2717,104.12,,,
2716,104.11,,,
2715,104.11,,,
2714,104.11,,,
2713,104.12,,,
2712,104.13,,,
2711,104.14,,,
2710,104.14,,,
2709,104.16,,,
2708,104.18,,,
2707,104.2,,,
2706,104.21,,,
2705,104.21,,,
2704,104.2,,,
2703,104.21,,,
2702,104.22,,,
2701,104.22,,,
2700,104.22,,,
2699,104.21,,,
2698,104.21,,,
2697,104.21,,,
2696,104.22,,,
2695,104.24,,,
2694,104.26,,,
2693,104.27,,,
2692,104.29,,,
2691,104.29,,,
2690,104.29,,,
2689,104.28,,,
2688,104.28,,,
2687,104.28,,,
2686,104.3,,,
2685,104.3,,,
2684,104.31,,,
2683,104.31,,,
2682,104.31,,,
2681,104.31,,,
2680,104.32,,,
2679,104.34,,,
2678,104.35,,,
2677,104.37,,,
2676,104.37,,,
2675,104.38,,,
2674,104.38,,,
2673,104.39,,,
2672,104.39,,,
2671,104.4,,,
2670,104.4,,,
2669,104.41,,,
2668,104.43,,,
2667,104.45,,,
2666,104.47,,,
2665,104.48,,,
2664,104.48,,,
2663,104.47,,,
2662,104.47,,,
2661,104.47,,,
2660,104.47,,,
2659,104.47,,,
2658,104.47,,,
2657,104.48,,,
2656,104.48,,,
2655,104.48,,,
2654,104.49,,,
2653,104.5,,,
2652,104.5,,,
2651,104.5,,,
2650,104.49,,,
2649,104.48,,,
2648,104.49,,,
2647,104.51,,,
2646,104.53,,,
2645,104.54,,,
2644,104.54,,,
2643,104.55,,,
2642,104.56,,,
2641,104.56,,,
2640,104.56,,,
2639,104.55,,,
2638,104.54,,,
2637,104.56,,,
2636,104.58,,,
2635,104.6,,,
2634,104.62,,,
2633,104.63,,,
2632,104.65,,,
2631,104.66,,,
2630,104.68,,,
2629,104.69,,,
2628,104.69,,,
2627,104.7,,,
2626,104.71,,,
2625,104.73,,,
2624,104.75,,,
